term_id,term,regex,term_family,source_basis,equity_financing_access_signal,financing_disclosure_context_signal,general_financing_disclosure_scope,nonfinancing_compensation_accounting_exclusion
term_0444_1ab9cb83,\bsources? of funds\b,\bsources? of funds\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,1,0
term_0445_9a754d5b,\bsources? of liquidity\b,\bsources? of liquidity\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,1,0
term_0455_209811c7,\bunable to (?:raise|obtain|access|secure|fund|finance)\b,\bunable to (?:raise|obtain|access|secure|fund|finance)\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,1,0
term_0031_f8f73dc5,capital resources,\bcapital\s+resources\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0100_c9870bde,going concern,\bgoing\s+concern\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,0,0
term_0182_23b50aea,substantial doubt,\bsubstantial\s+doubt\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,0,0
term_0215_9d2bfc8c,\banticipated sources? of funds\b,\banticipated sources? of funds\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0236_74a56d75,\bcapital resources\b,\bcapital resources\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0238_7fbea69d,\bcash flows?\b,\bcash flows?\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0240_d26b2e94,\bcash requirements?\b,\bcash requirements?\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0290_30be4912,\bfinancing arrangements?\b,\bfinancing arrangements?\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0300_9f6a6ce2,\bgoing concern\b,\bgoing concern\b,Financial constraint and going-concern context,SEC comment-letter usage for financing stress and going-concern disclosure contexts,0,1,0,0
term_0306_a3ba5692,\binternal and external sources? of liquidity\b,\binternal and external sources? of liquidity\b,MD&A liquidity and source-of-funds context,SEC MD&A liquidity/source-of-funds disclosure framework and SEC comment-letter usage,0,1,0,0
term_0320_cb8372be,\bknown (?:trends?|demands?|commitments?|events?|uncertainties)\b,\bknown (?:trends?|demands?|commitments?|events?|uncertainties)\b,Known trends and uncertainties context,SEC MD&A known trends and uncertainties disclosure framework,0,1,0,0
